,eventdate,fb_created,campaign_end_date,campaign_duration,buyer_initials,buyer_name,account_currency,account_id,account_name,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,job_type,fb_clicks_all,fb_impressions,fb_leads,fb_link_click,fb_spend,rev_clicks,gross_revenue,net_revenue,buy_side_ctr,roas,rpc,buy_side_cpm,cpc,rpp,cpp,contrib,budget,budget_type,status,countries,age_max,age_min,facebook_positions,locales,adset_schedule,lifetime_budget,"network_[""facebook"",""instagram""]","network_[""facebook""]","devices_[""mobile"",""desktop""]","devices_[""mobile""]"
0,2024-01-18,2024-01-18 01:15:01+00:00,2024-01-25,7,GN,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424570410,batch_01|TEST_5|20240117|Ad1,120203732421890410,batch_01|TEST_5|20240117|Adset1,120203732421620410,batch_01|TEST_5|20240117|Wrinkles on Face,final,1,84,0,1,2.0,1,0.1111111111111111,0.1,0.011905,0.05,0.1,23.80952381,2.0,0.1,2.0,-1.9,219,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",,0.0,False,True,False,True
1,2024-01-19,2024-01-18 01:15:01+00:00,2024-01-25,7,GN,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424570410,batch_01|TEST_5|20240117|Ad1,120203732421890410,batch_01|TEST_5|20240117|Adset1,120203732421620410,batch_01|TEST_5|20240117|Wrinkles on Face,final,6,56,2,6,1.94,5,1.088888888888889,0.98,0.107143,0.5051546391752577,0.1633333333333333,34.642857143,0.323333333333,0.196,0.388,-0.96,219,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",,0.0,False,True,False,True
2,2024-01-20,2024-01-18 01:15:01+00:00,2024-01-25,7,GN,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424570410,batch_01|TEST_5|20240117|Ad1,120203732421890410,batch_01|TEST_5|20240117|Adset1,120203732421620410,batch_01|TEST_5|20240117|Wrinkles on Face,final,7,58,4,8,1.49,14,1.4333333333333331,1.29,0.12069,0.865771812080537,0.1842857142857143,25.689655172,0.212857142857,0.0921428571428571,0.106428571429,-0.1999999999999999,219,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",,0.0,False,True,False,True
3,2024-01-21,2024-01-18 01:15:01+00:00,2024-01-25,7,GN,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424570410,batch_01|TEST_5|20240117|Ad1,120203732421890410,batch_01|TEST_5|20240117|Adset1,120203732421620410,batch_01|TEST_5|20240117|Wrinkles on Face,final,10,57,5,8,2.03,6,1.522222222222222,1.37,0.175439,0.6748768472906405,0.137,35.614035088,0.203,0.2283333333333333,0.338333333333,-0.6599999999999997,219,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",,0.0,False,True,False,True
4,2024-01-22,2024-01-18 01:15:01+00:00,2024-01-25,7,GN,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424570410,batch_01|TEST_5|20240117|Ad1,120203732421890410,batch_01|TEST_5|20240117|Adset1,120203732421620410,batch_01|TEST_5|20240117|Wrinkles on Face,final,5,79,0,5,2.05,2,0.9444444444444444,0.8500000000000001,0.063291,0.4146341463414635,0.17,25.949367089,0.41,0.425,1.025,-1.1999999999999995,219,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",,0.0,False,True,False,True
5,2024-01-23,2024-01-18 01:15:01+00:00,2024-01-25,7,GN,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424570410,batch_01|TEST_5|20240117|Ad1,120203732421890410,batch_01|TEST_5|20240117|Adset1,120203732421620410,batch_01|TEST_5|20240117|Wrinkles on Face,final,12,42,5,10,1.17,5,1.522222222222222,1.37,0.285714,1.170940170940171,0.1141666666666666,27.857142857,0.0975,0.2739999999999999,0.234,0.1999999999999999,219,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",,0.0,False,True,False,True
6,2024-01-24,2024-01-18 01:15:01+00:00,2024-01-25,7,GN,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424570410,batch_01|TEST_5|20240117|Ad1,120203732421890410,batch_01|TEST_5|20240117|Adset1,120203732421620410,batch_01|TEST_5|20240117|Wrinkles on Face,final,7,33,0,4,0.95,1,0.2888888888888889,0.26,0.212121,0.2736842105263158,0.0371428571428571,28.787878788,0.135714285714,0.26,0.95,-0.69,219,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",,0.0,False,True,False,True
7,2024-01-25,2024-01-18 01:15:01+00:00,2024-01-25,7,GN,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424570410,batch_01|TEST_5|20240117|Ad1,120203732421890410,batch_01|TEST_5|20240117|Adset1,120203732421620410,batch_01|TEST_5|20240117|Wrinkles on Face,final,6,25,0,4,0.67,3,0.7666666666666666,0.69,0.24,1.0298507462686566,0.1149999999999999,26.8,0.111666666667,0.2299999999999999,0.223333333333,0.0199999999999999,219,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",,0.0,False,True,False,True
8,2024-01-18,2024-01-18 01:15:01+00:00,2024-01-26,8,GN,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424650410,batch_01|TEST_5|20240117|Ad1,120203732422100410,batch_01|TEST_5|20240117|Adset1,120203732421540410,batch_01|TEST_5|20240117|Best Cream For Deep Wrinkles,final,13,86,5,16,1.98,6,2.1444444444444444,1.93,0.151163,0.9747474747474748,0.1484615384615384,23.023255814,0.152307692308,0.3216666666666666,0.33,-0.05,400,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",,0.0,False,True,False,True
9,2024-01-19,2024-01-18 01:15:01+00:00,2024-01-26,8,GN,Golden Nuggets,USD,7150655894950781,fw84 - FB SCMT 1016 GN (America/Los_Angeles),120203732424650410,batch_01|TEST_5|20240117|Ad1,120203732422100410,batch_01|TEST_5|20240117|Adset1,120203732421540410,batch_01|TEST_5|20240117|Best Cream For Deep Wrinkles,final,12,60,2,10,1.72,1,0.1333333333333333,0.12,0.2,0.0697674418604651,0.01,28.666666667,0.143333333333,0.12,1.72,-1.6,400,DAILY,PAUSED,"[""US""]",65,22,"[""feed"",""biz_disco_feed"",""facebook_reels"",""facebook_reels_overlay"",""video_feeds"",""instream_video"",""marketplace"",""story"",""search""]","[24,6]",,0.0,False,True,False,True
